"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 17:41:04 IST 2023","Mon Jul 24 17:41:20 IST 2023","15632","","Place Order End To End Scenario","","","","Add product in card and verified product is added or not",""
"passed","Mon Jul 24 17:41:04 IST 2023","Mon Jul 24 17:41:09 IST 2023","4309","","Place Order End To End Scenario","","","","""before each"" hook for Place Order End To End Scenario",""
